사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.24,경부선,1723,평택지제,2 ,0 ,2450 ,5369 ,5261 ,8392 ,10982 ,11433 ,9890 ,7432 ,7005 ,5054 ,6704 ,3710 ,6010 ,4417 ,7248 ,4601 ,4847 ,4318 ,5661 ,4998 ,7815 ,6368 ,8663 ,8399 ,14531 ,9069 ,9991 ,10818 ,7676 ,9297 ,5498 ,6342 ,4592 ,6687 ,4831 ,5628 ,2740 ,3506 ,56 ,500 ,0 ,2 ,0 ,0 ,0 ,0 
Dec.24,경부선,1724,평택,83 ,4 ,7962 ,2864 ,13256 ,9178 ,25640 ,15232 ,27168 ,23896 ,27470 ,20877 ,26057 ,19259 ,23782 ,22997 ,24932 ,25354 ,26480 ,23956 ,26550 ,28711 ,27970 ,31582 ,31573 ,34598 ,34618 ,39196 ,29678 ,39874 ,21326 ,25302 ,21596 ,21904 ,15429 ,17070 ,13268 ,13109 ,6769 ,8584 ,249 ,2370 ,2 ,7 ,0 ,0 ,0 ,0 
Dec.24,경부선,1725,성환,15 ,0 ,2311 ,598 ,3357 ,2734 ,6118 ,11919 ,6754 ,14867 ,7395 ,14874 ,7963 ,8517 ,8129 ,5879 ,8966 ,9347 ,13319 ,8683 ,12607 ,6030 ,14643 ,6979 ,15710 ,7457 ,18079 ,8874 ,12198 ,8698 ,4900 ,7011 ,3763 ,6217 ,2521 ,5600 ,1628 ,5987 ,709 ,5000 ,67 ,1046 ,0 ,18 ,0 ,0 ,0 ,0 
Dec.24,경부선,1726,직산,58 ,0 ,878 ,371 ,1687 ,1295 ,2353 ,3437 ,2167 ,3371 ,1937 ,1184 ,1824 ,988 ,1646 ,978 ,1497 ,1136 ,1527 ,1149 ,1426 ,1368 ,1842 ,1299 ,1816 ,1780 ,3922 ,2197 ,3493 ,2564 ,1193 ,2165 ,897 ,1376 ,770 ,1410 ,322 ,1185 ,190 ,1067 ,22 ,184 ,0 ,3 ,0 ,0 ,0 ,0 
Dec.24,경부선,1727,두정,973 ,6 ,5247 ,1516 ,9782 ,4564 ,16119 ,9419 ,15688 ,17319 ,15250 ,19214 ,12973 ,14923 ,13001 ,12701 ,15413 ,13213 ,14276 ,14393 ,14777 ,12474 ,16892 ,10829 ,18169 ,15522 ,18235 ,18481 ,17622 ,23723 ,10924 ,16318 ,8259 ,13498 ,7272 ,10615 ,5382 ,10778 ,2727 ,8904 ,48 ,2603 ,0 ,38 ,0 ,0 ,0 ,0 
Dec.24,경부선,1728,천안,1518 ,8 ,3040 ,555 ,5601 ,3356 ,10405 ,6580 ,10433 ,11721 ,15325 ,12259 ,12610 ,11766 ,14690 ,14250 ,13640 ,14670 ,14443 ,13940 ,19036 ,15617 ,18818 ,14470 ,19648 ,15379 ,17765 ,19744 ,15128 ,19030 ,10307 ,11947 ,8034 ,9201 ,6387 ,7043 ,3922 ,5411 ,2377 ,3870 ,55 ,2497 ,0 ,19 ,0 ,0 ,0 ,0 
Dec.24,경부선,1729,당정,8 ,0 ,4166 ,870 ,10914 ,3163 ,24491 ,8845 ,20241 ,15764 ,12231 ,7890 ,9294 ,5621 ,10079 ,5437 ,10478 ,6098 ,9620 ,6176 ,8847 ,6230 ,9629 ,8277 ,10474 ,10085 ,12535 ,14015 ,13327 ,19744 ,5490 ,16816 ,4811 ,11430 ,3788 ,10508 ,3011 ,10047 ,1247 ,6577 ,104 ,1298 ,0 ,1 ,0 ,0 ,0 ,0 
Dec.24,경부선,1749,서동탄,3 ,0 ,1429 ,13 ,5628 ,671 ,10459 ,1515 ,3565 ,1044 ,2712 ,842 ,2156 ,722 ,2051 ,954 ,2000 ,989 ,1791 ,1176 ,1644 ,1398 ,1895 ,1975 ,1788 ,2499 ,1983 ,3279 ,1917 ,5252 ,842 ,5756 ,595 ,2730 ,509 ,2074 ,388 ,2765 ,113 ,1670 ,5 ,1271 ,0 ,23 ,0 ,0 ,0 ,0 
Dec.24,경부선,1750,광명,0 ,0 ,12 ,1557 ,3413 ,3583 ,11057 ,6686 ,10072 ,7765 ,7128 ,5977 ,4688 ,4118 ,8598 ,2741 ,6221 ,8307 ,6038 ,220 ,4125 ,9106 ,7191 ,4261 ,8985 ,5428 ,10156 ,7780 ,10835 ,12644 ,8462 ,6893 ,2663 ,4599 ,7276 ,3153 ,2585 ,4567 ,957 ,101 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경인선,1801,개봉,1292 ,9 ,17450 ,5947 ,37889 ,11876 ,84044 ,14187 ,76040 ,22026 ,49181 ,19446 ,38318 ,17579 ,35978 ,21857 ,35652 ,26135 ,33694 ,28098 ,29899 ,29380 ,31372 ,38799 ,34466 ,50221 ,32930 ,62923 ,29583 ,84686 ,19402 ,64229 ,16832 ,41925 ,15221 ,38254 ,12149 ,32698 ,4247 ,19118 ,122 ,1908 ,0 ,27 ,0 ,0 ,0 ,0 
Dec.24,경인선,1802,오류동,433 ,9 ,12219 ,1581 ,17714 ,4669 ,42661 ,5496 ,41297 ,11345 ,28527 ,10726 ,22735 ,8653 ,21343 ,9403 ,21047 ,12652 ,19271 ,14458 ,16624 ,14924 ,17243 ,18971 ,17408 ,22911 ,15741 ,28883 ,13213 ,40485 ,8140 ,34129 ,6495 ,22629 ,5708 ,20401 ,3993 ,18397 ,1763 ,12042 ,54 ,1541 ,2 ,57 ,0 ,0 ,0 ,0 
Dec.24,경인선,1803,역곡,1053 ,15 ,28559 ,2443 ,44413 ,9302 ,105431 ,13589 ,98575 ,30727 ,61482 ,26015 ,44387 ,20623 ,40699 ,23323 ,40747 ,28970 ,40238 ,31003 ,35646 ,33065 ,36086 ,42362 ,38417 ,55689 ,38368 ,73911 ,32758 ,104650 ,21079 ,85915 ,17163 ,50494 ,14579 ,48570 ,11615 ,42168 ,5096 ,27634 ,321 ,4483 ,2 ,27 ,0 ,0 ,0 ,0 
Dec.24,경인선,1804,부천,3190 ,30 ,39720 ,3695 ,42789 ,10835 ,94828 ,16780 ,93556 ,39377 ,61682 ,39815 ,48549 ,41114 ,49786 ,43143 ,51889 ,52824 ,52474 ,58495 ,53947 ,52667 ,59336 ,60095 ,61004 ,69329 ,57689 ,90835 ,57277 ,109726 ,36810 ,89310 ,30920 ,55683 ,28492 ,49917 ,22598 ,42837 ,11336 ,28646 ,903 ,5633 ,13 ,51 ,0 ,0 ,0 ,0 
Dec.24,경인선,1805,송내,1560 ,13 ,16110 ,7211 ,38847 ,14014 ,99502 ,26852 ,82218 ,71972 ,49822 ,39963 ,39132 ,24348 ,41109 ,23617 ,38891 ,25399 ,36986 ,29333 ,36370 ,29257 ,37360 ,33572 ,40927 ,44904 ,49312 ,60733 ,68748 ,86811 ,28549 ,78974 ,22302 ,48191 ,18752 ,42595 ,13932 ,38506 ,6720 ,23615 ,624 ,4383 ,1 ,37 ,0 ,0 ,0 ,0 
Dec.24,경인선,1806,부평,9986 ,73 ,22883 ,3876 ,35394 ,9071 ,80352 ,17973 ,73160 ,31974 ,47458 ,37483 ,40815 ,35258 ,42560 ,42596 ,45614 ,49913 ,47115 ,56336 ,48824 ,59283 ,55558 ,59454 ,58931 ,71395 ,61736 ,88556 ,53996 ,114778 ,40750 ,92792 ,37929 ,54321 ,36581 ,46608 ,31233 ,38606 ,17536 ,24891 ,2847 ,7682 ,2 ,74 ,0 ,0 ,0 ,0 
Dec.24,경인선,1807,백운,128 ,12 ,9188 ,1275 ,15317 ,2556 ,28077 ,4024 ,26078 ,9292 ,16371 ,6334 ,14109 ,5819 ,13509 ,7594 ,13003 ,8053 ,11933 ,9305 ,11217 ,10156 ,10958 ,12644 ,11166 ,15695 ,10477 ,19253 ,8775 ,25333 ,4841 ,22682 ,3812 ,14036 ,3993 ,13198 ,2727 ,11151 ,1176 ,7305 ,187 ,2598 ,1 ,14 ,0 ,0 ,0 ,0 
Dec.24,경인선,1808,동암,428 ,11 ,20246 ,2869 ,28566 ,6274 ,55157 ,12187 ,52610 ,15871 ,33149 ,14428 ,27698 ,14564 ,26321 ,17537 ,27441 ,19220 ,26046 ,19859 ,23171 ,20918 ,23935 ,26521 ,24581 ,34795 ,25035 ,45479 ,21863 ,55083 ,13776 ,49841 ,11280 ,32156 ,9967 ,29545 ,7883 ,26184 ,4129 ,15756 ,427 ,4777 ,3 ,26 ,0 ,0 ,0 ,0 
Dec.24,경인선,1809,주안,993 ,27 ,14974 ,3047 ,29615 ,7218 ,57069 ,16044 ,51443 ,25240 ,34397 ,20184 ,29508 ,17482 ,31995 ,18573 ,34292 ,21421 ,32063 ,21562 ,30435 ,23553 ,32128 ,26401 ,34961 ,34161 ,37654 ,40894 ,34163 ,54707 ,21203 ,55775 ,19089 ,32450 ,17521 ,29416 ,13252 ,27474 ,6944 ,20145 ,764 ,6150 ,2 ,49 ,0 ,0 ,0 ,0 
Dec.24,경인선,1810,제물포,931 ,9 ,7484 ,2100 ,17416 ,5598 ,34541 ,13401 ,29522 ,32004 ,19715 ,15266 ,17035 ,10100 ,17221 ,9295 ,17509 ,12285 ,17502 ,12635 ,16148 ,12423 ,20413 ,14940 ,23994 ,18593 ,22171 ,23418 ,22242 ,29951 ,9356 ,27485 ,7784 ,16182 ,6142 ,15253 ,3966 ,14459 ,1495 ,10239 ,97 ,3518 ,0 ,10 ,0 ,0 ,0 ,0 
Dec.24,경인선,1811,동인천,1528 ,11 ,7122 ,2341 ,18234 ,9742 ,38774 ,21132 ,32490 ,29385 ,21671 ,17380 ,21245 ,17140 ,22328 ,19596 ,24950 ,21176 ,24533 ,22042 ,24240 ,22185 ,28063 ,23221 ,32066 ,26042 ,36358 ,28389 ,34505 ,34452 ,16114 ,31766 ,12213 ,19232 ,10128 ,17287 ,6697 ,15386 ,2695 ,10098 ,20 ,3652 ,0 ,25 ,0 ,0 ,0 ,0 
Dec.24,경인선,1812,인천,308 ,3 ,1163 ,873 ,3071 ,2927 ,4915 ,6155 ,4694 ,9259 ,3464 ,5473 ,4009 ,6088 ,4853 ,7216 ,6026 ,8126 ,7412 ,7529 ,9335 ,6108 ,10522 ,5225 ,11833 ,4876 ,12710 ,4305 ,11960 ,3830 ,5331 ,2888 ,4467 ,2237 ,3004 ,1809 ,1578 ,1612 ,460 ,1277 ,15 ,1095 ,2 ,26 ,0 ,0 ,0 ,0 
Dec.24,경인선,1813,구일,293 ,4 ,4452 ,2073 ,10083 ,5374 ,23861 ,7503 ,20280 ,12549 ,13422 ,12220 ,10966 ,8831 ,10810 ,9807 ,11592 ,13141 ,10587 ,17921 ,11988 ,21007 ,14172 ,30243 ,16644 ,31340 ,14321 ,38494 ,11697 ,40644 ,11415 ,25666 ,26840 ,11792 ,26913 ,11572 ,28463 ,9614 ,3358 ,6483 ,56 ,708 ,0 ,16 ,0 ,0 ,0 ,0 
Dec.24,경인선,1814,소사,1026 ,11 ,13009 ,2351 ,13161 ,5153 ,26084 ,6637 ,23295 ,9588 ,16953 ,7667 ,14437 ,8230 ,13601 ,8644 ,13679 ,10285 ,13546 ,11489 ,12376 ,10849 ,12543 ,13004 ,12953 ,15734 ,12433 ,19357 ,10162 ,23538 ,6502 ,18917 ,4441 ,13017 ,3862 ,12066 ,2538 ,10662 ,1090 ,7576 ,90 ,2236 ,0 ,19 ,0 ,0 ,0 ,0 
Dec.24,경인선,1815,부개,2138 ,6 ,10421 ,1180 ,16725 ,3005 ,37866 ,5403 ,31168 ,10439 ,19462 ,6736 ,15840 ,6450 ,14895 ,7933 ,14479 ,9413 ,13896 ,10196 ,11757 ,12270 ,11492 ,14235 ,12779 ,18980 ,11865 ,22405 ,10490 ,28993 ,5968 ,24557 ,4497 ,15761 ,3667 ,15019 ,2445 ,12298 ,1304 ,9201 ,198 ,2454 ,1 ,9 ,0 ,0 ,0 ,0 
Dec.24,경인선,1816,간석,275 ,7 ,5686 ,1352 ,11181 ,2775 ,19663 ,4078 ,18227 ,8640 ,11405 ,4949 ,9939 ,5540 ,9584 ,5812 ,10500 ,6744 ,10065 ,7523 ,8922 ,8260 ,9028 ,9449 ,9881 ,12479 ,9220 ,14385 ,8977 ,17859 ,4720 ,16287 ,4152 ,10338 ,3380 ,8417 ,2740 ,7840 ,1315 ,5327 ,133 ,2044 ,0 ,7 ,0 ,0 ,0 ,0 
Dec.24,경인선,1817,도원,655 ,37 ,2025 ,905 ,3720 ,2197 ,6855 ,5791 ,6724 ,17561 ,4876 ,3623 ,4595 ,4569 ,5137 ,3742 ,5699 ,4110 ,6616 ,4358 ,5773 ,4720 ,7577 ,4954 ,10535 ,5868 ,8036 ,5866 ,6804 ,6047 ,2447 ,5915 ,1910 ,3869 ,1723 ,3328 ,834 ,2940 ,355 ,2072 ,31 ,1304 ,1 ,8 ,0 ,0 ,0 ,0 
Dec.24,경인선,1821,온수(성공회대입구),197 ,5 ,5768 ,1360 ,7954 ,3313 ,19850 ,8161 ,18156 ,11055 ,13534 ,6619 ,11269 ,5760 ,12101 ,6004 ,12876 ,7499 ,11114 ,8110 ,10378 ,8707 ,11597 ,10844 ,12402 ,11805 ,10606 ,14728 ,9789 ,20453 ,5020 ,15662 ,3723 ,10392 ,4160 ,9658 ,2946 ,8749 ,1734 ,5741 ,124 ,985 ,2 ,24 ,0 ,0 ,0 ,0 
Dec.24,경인선,1822,중동,978 ,30 ,10845 ,1424 ,17562 ,4252 ,40132 ,5228 ,31652 ,11357 ,19846 ,7611 ,15687 ,7827 ,15515 ,8844 ,15502 ,9530 ,14872 ,12612 ,13450 ,11856 ,13142 ,14692 ,13455 ,18475 ,13978 ,24051 ,10916 ,30471 ,6383 ,26345 ,5256 ,16117 ,4740 ,14820 ,3029 ,13512 ,1436 ,8730 ,156 ,2206 ,1 ,16 ,0 ,0 ,0 ,0 
Dec.24,경인선,1823,도화,342 ,3 ,4346 ,774 ,6786 ,1845 ,14581 ,4040 ,12694 ,7415 ,8668 ,3231 ,7694 ,3871 ,7357 ,4187 ,7387 ,5466 ,7172 ,5553 ,6633 ,6268 ,7060 ,6903 ,7406 ,9312 ,6730 ,9518 ,6528 ,10650 ,3047 ,10348 ,2372 ,6401 ,2034 ,5314 ,1551 ,4866 ,722 ,3956 ,55 ,1936 ,0 ,8 ,0 ,0 ,0 ,0 
Dec.24,경원선,1008,이촌(국립중앙박물관),60 ,7 ,1225 ,545 ,3402 ,2421 ,8249 ,4424 ,10015 ,8628 ,8080 ,4994 ,7117 ,4135 ,7189 ,4354 ,6867 ,4234 ,7453 ,4740 ,6859 ,4778 ,8113 ,5863 ,8833 ,6141 ,10468 ,7427 ,9248 ,8045 ,5050 ,6241 ,4336 ,4498 ,3632 ,4485 ,2107 ,4141 ,629 ,2601 ,74 ,724 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1009,서빙고,56 ,0 ,954 ,662 ,2173 ,3950 ,2797 ,3819 ,3447 ,8817 ,3191 ,4000 ,3499 ,3795 ,2970 ,3128 ,3979 ,3251 ,3924 ,4983 ,4530 ,5102 ,5714 ,6732 ,7983 ,5990 ,11451 ,4276 ,7052 ,4373 ,3172 ,3517 ,2336 ,1884 ,2012 ,1982 ,1120 ,1702 ,356 ,1004 ,42 ,281 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1010,한남,105 ,1 ,876 ,653 ,1416 ,4709 ,2551 ,10223 ,2858 ,12974 ,2962 ,10345 ,3603 ,6197 ,4618 ,5054 ,4916 ,5072 ,4205 ,5032 ,5730 ,4327 ,7218 ,4447 ,8382 ,5256 ,14238 ,6690 ,11968 ,6194 ,6238 ,4429 ,5279 ,2158 ,5351 ,2125 ,4490 ,1450 ,1837 ,872 ,105 ,334 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1011,옥수,1 ,0 ,0 ,39 ,2 ,50 ,27 ,21 ,175 ,279 ,44 ,32 ,55 ,219 ,31 ,173 ,17 ,93 ,21 ,10 ,35 ,23 ,38 ,16 ,536 ,90 ,335 ,39 ,60 ,45 ,285 ,16 ,58 ,18 ,57 ,20 ,15 ,8 ,8 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1012,응봉,128 ,0 ,1138 ,188 ,2962 ,1067 ,6353 ,1292 ,6174 ,1905 ,4549 ,1311 ,3707 ,1244 ,3128 ,1266 ,2664 ,1781 ,2513 ,1892 ,2678 ,2403 ,2598 ,2641 ,2886 ,3722 ,2767 ,4157 ,2186 ,4790 ,1260 ,3977 ,865 ,2823 ,618 ,2158 ,442 ,2124 ,182 ,1300 ,10 ,402 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1013,왕십리(성동구청),940 ,10 ,5659 ,1509 ,8462 ,6799 ,25762 ,12515 ,39303 ,21206 ,26230 ,18871 ,18915 ,21377 ,20497 ,24873 ,24870 ,26928 ,28602 ,28257 ,31000 ,28553 ,34469 ,33218 ,39004 ,38501 ,40636 ,50940 ,37636 ,66953 ,30721 ,46182 ,31127 ,29610 ,33042 ,25736 ,28745 ,21576 ,12812 ,12127 ,1381 ,4406 ,0 ,1 ,0 ,0 ,0 ,0 
Dec.24,경원선,1014,청량리(서울시립대입구),1366 ,30 ,4816 ,1580 ,7557 ,12836 ,27274 ,15674 ,41399 ,21734 ,27280 ,30997 ,33213 ,31339 ,34415 ,42597 ,36219 ,37148 ,36450 ,35313 ,39695 ,40239 ,38587 ,41132 ,44542 ,40884 ,39838 ,40484 ,36580 ,54645 ,28598 ,37947 ,27199 ,24312 ,18671 ,22185 ,11416 ,14205 ,5829 ,7842 ,207 ,3536 ,2 ,6 ,0 ,0 ,0 ,0 
Dec.24,경원선,1016,외대앞,474 ,20 ,4635 ,3069 ,7379 ,13370 ,18430 ,6582 ,22966 ,21854 ,15108 ,13283 ,13448 ,16018 ,14360 ,16164 ,16496 ,14810 ,17343 ,13491 ,19642 ,15345 ,21219 ,14895 ,29869 ,16608 ,28581 ,19867 ,18057 ,23534 ,12023 ,18465 ,10431 ,14454 ,11300 ,13542 ,7941 ,14802 ,4390 ,11404 ,340 ,2940 ,0 ,85 ,0 ,0 ,0 ,0 
Dec.24,경원선,1017,신이문,1646 ,28 ,7988 ,1441 ,13378 ,3393 ,32969 ,4460 ,36331 ,7656 ,22066 ,4887 ,16444 ,5917 ,14419 ,7558 ,14144 ,8873 ,13534 ,10078 ,11794 ,11483 ,11588 ,15376 ,11885 ,18513 ,10771 ,21912 ,8844 ,28766 ,5450 ,21943 ,3751 ,15573 ,3040 ,14343 ,2346 ,13176 ,963 ,8522 ,90 ,2100 ,1 ,47 ,0 ,0 ,0 ,0 
Dec.24,경원선,1018,석계,1221 ,8 ,5195 ,1623 ,9857 ,4245 ,19419 ,5024 ,21813 ,7881 ,15620 ,6630 ,14329 ,7242 ,14403 ,9066 ,14605 ,9963 ,13920 ,11377 ,12803 ,12215 ,12496 ,16336 ,13578 ,21523 ,12360 ,24940 ,10194 ,31267 ,7738 ,23626 ,6479 ,16450 ,6238 ,15207 ,5064 ,13046 ,2688 ,8870 ,179 ,2170 ,2 ,52 ,0 ,0 ,0 ,0 
Dec.24,경원선,1019,광운대,2439 ,5 ,5999 ,1155 ,13864 ,3378 ,29982 ,5651 ,27866 ,14798 ,16484 ,10316 ,13573 ,10717 ,13101 ,11613 ,13996 ,11778 ,13931 ,12241 ,13791 ,12820 ,13794 ,13998 ,15297 ,17191 ,15181 ,19565 ,11342 ,24639 ,7619 ,21564 ,7507 ,13703 ,7149 ,12463 ,4873 ,11605 ,2525 ,9794 ,201 ,5010 ,2 ,189 ,0 ,0 ,0 ,0 
Dec.24,경원선,1020,월계,919 ,25 ,4711 ,1381 ,9403 ,2622 ,23174 ,6142 ,22340 ,13556 ,15091 ,10059 ,12810 ,7674 ,12917 ,6654 ,13321 ,8838 ,13280 ,10375 ,12068 ,9609 ,12475 ,10712 ,14816 ,13728 ,11950 ,14650 ,8927 ,20141 ,5280 ,15391 ,3987 ,10230 ,3385 ,9546 ,2679 ,8814 ,1103 ,5189 ,82 ,1376 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1021,녹천,1261 ,56 ,4161 ,894 ,7855 ,1330 ,19294 ,3901 ,17165 ,4391 ,9557 ,2620 ,8236 ,3378 ,7209 ,3226 ,8127 ,4286 ,6490 ,4459 ,5704 ,5268 ,6013 ,6332 ,6619 ,7883 ,5954 ,9677 ,4394 ,12561 ,2847 ,10798 ,1718 ,7018 ,1884 ,6478 ,1023 ,6375 ,413 ,3660 ,62 ,1041 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1022,창동,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,4 ,0 ,2 ,0 ,15 ,0 ,5 ,0 ,5 ,0 ,8 ,0 ,8 ,0 ,4 ,0 ,4 ,0 ,3 ,0 ,7 ,0 ,4 ,0 ,4 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1901,방학,462 ,6 ,11496 ,1852 ,14752 ,6210 ,30568 ,9256 ,28752 ,20804 ,20545 ,10959 ,18039 ,11881 ,17796 ,11284 ,19611 ,12790 ,17211 ,14241 ,16603 ,16358 ,16614 ,19367 ,17011 ,22564 ,17378 ,24933 ,17132 ,26935 ,9834 ,25168 ,7346 ,14845 ,6211 ,13402 ,4332 ,11753 ,2009 ,7081 ,367 ,2405 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1902,도봉,193 ,29 ,6298 ,1341 ,9951 ,3253 ,17485 ,3686 ,16817 ,10590 ,13035 ,7280 ,11407 ,6820 ,11056 ,7498 ,10743 ,8750 ,10919 ,8712 ,10278 ,9421 ,10426 ,11293 ,10230 ,12897 ,10275 ,14179 ,9811 ,14736 ,4206 ,13518 ,2971 ,8378 ,2581 ,7760 ,1818 ,6925 ,760 ,4270 ,132 ,1446 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1903,도봉산,269 ,1 ,6705 ,875 ,9005 ,2127 ,19721 ,3776 ,20226 ,6155 ,14323 ,9661 ,13091 ,12740 ,13696 ,13573 ,15532 ,13836 ,18823 ,11349 ,21007 ,10044 ,21986 ,10076 ,19757 ,10065 ,14780 ,9572 ,11050 ,9690 ,6870 ,8462 ,4235 ,5740 ,3407 ,5306 ,2274 ,4813 ,1128 ,3174 ,173 ,1355 ,1 ,1 ,0 ,0 ,0 ,0 
Dec.24,경원선,1904,망월사,526 ,26 ,7147 ,1048 ,12679 ,3163 ,25467 ,4953 ,23849 ,17508 ,17128 ,14200 ,15070 ,9555 ,15853 ,14134 ,16338 ,11436 ,17084 ,12270 ,16051 ,13233 ,15570 ,14724 ,15174 ,17386 ,14671 ,20537 ,10355 ,23097 ,6163 ,21865 ,5271 ,13428 ,4188 ,12142 ,3423 ,10933 ,1530 ,6728 ,289 ,3511 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1905,회룡,1869 ,38 ,14081 ,2199 ,27555 ,5942 ,53320 ,8191 ,48063 ,12561 ,31135 ,11441 ,28544 ,11112 ,26386 ,14227 ,25231 ,15770 ,22514 ,18148 ,19163 ,20869 ,18664 ,25259 ,17648 ,31250 ,16011 ,37009 ,12594 ,42271 ,7401 ,41429 ,6339 ,25607 ,5550 ,20720 ,3759 ,18169 ,1525 ,11763 ,283 ,5333 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.24,경원선,1906,의정부,3034 ,14 ,10267 ,2533 ,28799 ,7089 ,46445 ,12000 ,47240 ,35413 ,29281 ,35670 ,26430 ,28322 ,29298 ,32368 ,31782 ,34329 ,35009 ,39111 ,36703 ,37365 ,40858 ,35367 ,42018 ,40110 ,44309 ,47458 ,42497 ,54353 ,26651 ,51618 ,26793 ,31432 ,18569 ,26297 ,14426 ,22378 ,7686 ,17414 ,1236 ,9503 ,0 ,41 ,0 ,0 ,0 ,0 
Dec.24,경원선,1907,가능,431 ,6 ,7812 ,1113 ,11129 ,3355 ,22912 ,6871 ,20976 ,12829 ,12761 ,6954 ,12600 ,5769 ,11411 ,7142 ,11699 ,7843 ,10350 ,8615 ,9550 ,8585 ,9632 ,10702 ,10347 ,12404 ,11851 ,15348 ,8663 ,18786 ,5183 ,18200 ,4588 ,12571 ,3593 ,9117 ,2534 ,8334 ,1149 ,5225 ,206 ,2455 ,0 ,5 ,0 ,0 ,0 ,0 
Dec.24,경원선,1908,녹양,344 ,2 ,5197 ,789 ,7424 ,1911 ,15434 ,4182 ,13847 ,7224 ,9117 ,3999 ,8312 ,3549 ,7793 ,4927 ,8140 ,5035 ,7414 ,5846 ,6623 ,5674 ,7227 ,7137 ,7135 ,8020 ,7308 ,10215 ,7265 ,12605 ,3407 ,12049 ,2836 ,8613 ,2102 ,6491 ,1386 ,6393 ,610 ,4142 ,93 ,1530 ,0 ,3 ,0 ,0 ,0 ,0 
Dec.24,경원선,1909,양주,2236 ,14 ,5359 ,1323 ,11549 ,4873 ,28287 ,10760 ,22623 ,9523 ,18372 ,6859 ,16405 ,5882 ,15191 ,7347 ,14014 ,9311 ,13771 ,10235 ,11319 ,11012 ,11461 ,12195 ,11853 ,13382 ,12191 ,19412 ,12475 ,22295 ,5754 ,20331 ,3635 ,15836 ,2626 ,11650 ,1678 ,12041 ,770 ,6530 ,100 ,2821 ,0 ,28 ,0 ,0 ,0 ,0 
Dec.24,경원선,1910,덕계,37 ,0 ,6179 ,528 ,16793 ,3032 ,27742 ,4583 ,26796 ,7234 ,13782 ,4580 ,11386 ,3109 ,9789 ,3923 ,8934 ,4926 ,8469 ,6560 ,7045 ,6453 ,7276 ,8842 ,8984 ,11939 ,7491 ,14851 ,6781 ,21687 ,3724 ,19386 ,3020 ,13169 ,2454 ,11956 ,2024 ,7620 ,1106 ,7212 ,195 ,2282 ,0 ,1 ,0 ,0 ,0 ,0 
Dec.24,경원선,1911,덕정,4 ,0 ,4615 ,1021 ,10547 ,4815 ,18877 ,8543 ,19987 ,16872 ,12142 ,9252 ,11147 ,6455 ,11147 ,5794 ,11041 ,7170 ,13246 ,7942 ,9883 ,8797 ,11442 ,9387 ,12246 ,10768 ,12360 ,12592 ,11884 ,16168 ,5037 ,14328 ,3459 ,10192 ,2817 ,9698 ,2038 ,6439 ,1086 ,5498 ,286 ,2299 ,0 ,11 ,0 ,0 ,0 ,0 
Dec.24,경원선,1912,지행,81 ,4 ,4423 ,1002 ,10142 ,2544 ,18576 ,5920 ,20629 ,12519 ,14530 ,6622 ,13103 ,6880 ,12402 ,7316 ,11575 ,8318 ,11525 ,9007 ,10454 ,11252 ,11271 ,13541 ,12077 ,15464 ,11442 ,16904 ,11071 ,20971 ,7376 ,17530 ,6099 ,12901 ,5232 ,10002 ,3358 ,9027 ,1990 ,6495 ,282 ,3829 ,1 ,8 ,0 ,0 ,0 ,0 
