사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.24,2호선,202,을지로입구,93 ,3 ,2499 ,2679 ,4648 ,31136 ,10604 ,125680 ,16581 ,331880 ,24742 ,171109 ,34423 ,94752 ,47894 ,85120 ,53637 ,74740 ,66654 ,79197 ,79986 ,72148 ,97690 ,72530 ,116016 ,83432 ,191987 ,96268 ,289630 ,93922 ,155571 ,57929 ,153030 ,37165 ,108928 ,30020 ,87164 ,24079 ,36678 ,13573 ,9020 ,4735 ,126 ,1161 ,0 ,18 ,0 ,0 
Dec.24,2호선,203,을지로3가,21 ,1 ,1224 ,2318 ,2786 ,21784 ,6445 ,69059 ,12450 ,166598 ,16185 ,72654 ,22875 ,35685 ,27637 ,33018 ,29080 ,29855 ,32617 ,33463 ,37655 ,30029 ,43031 ,30832 ,54987 ,37283 ,96493 ,44255 ,134646 ,49298 ,60411 ,29999 ,49571 ,18470 ,52302 ,15849 ,45426 ,13593 ,25085 ,7913 ,4930 ,2221 ,55 ,145 ,0 ,0 ,0 ,0 
Dec.24,2호선,204,을지로4가,11 ,0 ,1084 ,1021 ,2410 ,12967 ,5310 ,35002 ,10811 ,76783 ,12577 ,39620 ,16325 ,26311 ,20608 ,26271 ,21288 ,23893 ,23789 ,23497 ,27479 ,22005 ,31060 ,20817 ,36835 ,19857 ,62322 ,20504 ,65553 ,20724 ,28462 ,13676 ,18749 ,10572 ,16263 ,9977 ,11258 ,9750 ,5490 ,5978 ,1113 ,1938 ,11 ,57 ,0 ,0 ,0 ,0 
Dec.24,2호선,205,동대문역사문화공원(DDP),188 ,25 ,4734 ,1152 ,4264 ,8972 ,6864 ,20505 ,12300 ,46130 ,15252 ,32056 ,18604 ,32416 ,21686 ,32951 ,24703 ,33531 ,26203 ,34430 ,31446 ,35848 ,37482 ,35315 ,44345 ,35120 ,49781 ,37651 ,50405 ,42572 ,35650 ,37084 ,28392 ,27750 ,26912 ,22233 ,22722 ,20378 ,10883 ,13317 ,4155 ,4018 ,52 ,160 ,0 ,0 ,0 ,0 
Dec.24,2호선,206,신당,65 ,3 ,5883 ,1261 ,10765 ,6592 ,29046 ,14292 ,50089 ,28843 ,29729 ,21940 ,21266 ,19521 ,20877 ,22662 ,23698 ,24105 ,25875 ,25907 ,26379 ,26514 ,27402 ,29612 ,31178 ,35407 ,34593 ,46076 ,35051 ,61876 ,23816 ,39261 ,20332 ,25696 ,20001 ,23227 ,18780 ,22385 ,9494 ,13370 ,1747 ,4414 ,19 ,67 ,0 ,4 ,0 ,0 
Dec.24,2호선,207,상왕십리,8 ,0 ,6023 ,840 ,14173 ,6152 ,39843 ,11071 ,65623 ,29987 ,37609 ,17867 ,25106 ,14432 ,22154 ,14640 ,23400 ,16199 ,23240 ,18019 ,21810 ,19959 ,22168 ,23709 ,24953 ,28965 ,27797 ,39017 ,28065 ,55815 ,18550 ,37055 ,12877 ,25817 ,11419 ,24622 ,7523 ,23315 ,3211 ,14738 ,687 ,5325 ,1 ,45 ,0 ,0 ,0 ,0 
Dec.24,2호선,208,왕십리(성동구청),588 ,6 ,6085 ,853 ,9490 ,7848 ,24210 ,12375 ,43915 ,27037 ,28278 ,20028 ,21125 ,16783 ,21223 ,18494 ,24700 ,20400 ,25521 ,22194 ,25753 ,23053 ,28422 ,25527 ,33462 ,30893 ,36992 ,42423 ,37131 ,59225 ,25828 ,36824 ,24731 ,24408 ,27979 ,22369 ,26716 ,21107 ,15434 ,14514 ,3024 ,5539 ,44 ,128 ,0 ,2 ,0 ,0 
Dec.24,2호선,209,한양대,1 ,0 ,1170 ,544 ,2530 ,6052 ,5263 ,11702 ,8748 ,52831 ,7052 ,46662 ,8668 ,37928 ,15073 ,18117 ,16666 ,32798 ,20367 ,26305 ,23524 ,20676 ,28648 ,15153 ,34064 ,12958 ,44566 ,14061 ,37775 ,16861 ,18304 ,9495 ,14832 ,6867 ,14782 ,6529 ,11250 ,6187 ,6708 ,4662 ,1627 ,1596 ,1 ,12 ,0 ,2 ,0 ,0 
Dec.24,2호선,210,뚝섬,6 ,0 ,2976 ,2485 ,8897 ,19756 ,17513 ,40782 ,26202 ,139123 ,18028 ,96499 ,16462 ,50073 ,20793 ,41809 ,25256 ,42974 ,30750 ,44228 ,38270 ,40934 ,46834 ,40588 ,63038 ,43026 ,90756 ,47440 ,136969 ,52127 ,71556 ,30458 ,53787 ,16819 ,45537 ,14266 ,29418 ,12814 ,11419 ,8224 ,1747 ,2820 ,4 ,55 ,0 ,4 ,0 ,0 
Dec.24,2호선,211,성수,59 ,7 ,5041 ,4147 ,8057 ,34521 ,20372 ,73176 ,27672 ,249334 ,23400 ,158029 ,22944 ,101723 ,29251 ,101675 ,41564 ,106304 ,55749 ,112994 ,74431 ,113180 ,99713 ,110128 ,130158 ,102715 ,187601 ,98451 ,275179 ,92077 ,151611 ,52252 ,123558 ,27191 ,104818 ,19620 ,69903 ,16437 ,26340 ,12486 ,3919 ,7009 ,38 ,1190 ,0 ,46 ,0 ,0 
Dec.24,2호선,212,건대입구,332 ,4 ,15107 ,2055 ,21426 ,15699 ,51909 ,23443 ,89192 ,59473 ,63985 ,50491 ,43409 ,48664 ,43034 ,52619 ,49792 ,59145 ,55564 ,64782 ,59025 ,66627 ,68963 ,73980 ,76228 ,87891 ,86336 ,116101 ,91937 ,154793 ,69871 ,108710 ,72282 ,71243 ,77025 ,66937 ,78600 ,60359 ,46732 ,35745 ,7934 ,13250 ,53 ,1280 ,0 ,13 ,0 ,0 
Dec.24,2호선,213,구의(광진구청),73 ,5 ,12833 ,1643 ,24618 ,39188 ,67210 ,18313 ,113003 ,39741 ,72097 ,22950 ,42455 ,21877 ,35364 ,23542 ,37137 ,26607 ,36863 ,29757 ,35042 ,32519 ,39074 ,40364 ,51888 ,48398 ,49999 ,62554 ,47817 ,97054 ,30418 ,68044 ,21738 ,48781 ,20043 ,46486 ,16942 ,44480 ,9543 ,24714 ,1603 ,8442 ,13 ,185 ,0 ,0 ,0 ,0 
Dec.24,2호선,214,강변(동서울터미널),23 ,0 ,8648 ,1768 ,22161 ,18966 ,63398 ,20725 ,99720 ,39856 ,76484 ,33806 ,64260 ,35236 ,59140 ,35567 ,53797 ,40112 ,50478 ,43818 ,49004 ,48919 ,51823 ,59967 ,55245 ,63235 ,57183 ,73767 ,58200 ,95088 ,39009 ,67683 ,31399 ,48671 ,24299 ,40913 ,16286 ,35540 ,5866 ,19345 ,869 ,5447 ,6 ,135 ,0 ,1 ,0 ,0 
Dec.24,2호선,215,잠실나루,2 ,0 ,3446 ,3133 ,12684 ,17762 ,35574 ,21991 ,46686 ,36438 ,32258 ,24023 ,26866 ,19136 ,26728 ,17919 ,24093 ,21054 ,22706 ,22316 ,24449 ,21533 ,27419 ,22372 ,35999 ,23574 ,41250 ,29815 ,29491 ,39631 ,14518 ,28146 ,10774 ,19028 ,8081 ,19118 ,5631 ,17812 ,2642 ,9938 ,413 ,3219 ,1 ,68 ,0 ,0 ,0 ,0 
Dec.24,2호선,216,잠실(송파구청),71 ,2 ,12982 ,4903 ,49289 ,34164 ,116725 ,79427 ,161939 ,181036 ,120480 ,181839 ,90159 ,143318 ,96099 ,147302 ,108642 ,147761 ,123010 ,157555 ,142845 ,161778 ,171159 ,180048 ,199413 ,193346 ,235324 ,226673 ,269705 ,265648 ,201279 ,175380 ,205991 ,115655 ,198483 ,103542 ,136645 ,91576 ,37988 ,51742 ,6607 ,10907 ,57 ,401 ,0 ,0 ,0 ,0 
Dec.24,2호선,217,잠실새내,47 ,3 ,6024 ,1058 ,17304 ,8978 ,56791 ,16894 ,84676 ,28934 ,56733 ,30013 ,39909 ,26503 ,37428 ,29865 ,38851 ,33107 ,39140 ,37673 ,36677 ,42107 ,40475 ,47244 ,43973 ,55325 ,46689 ,71169 ,46217 ,91540 ,33172 ,62578 ,30057 ,40880 ,29881 ,37239 ,27861 ,33684 ,14476 ,18855 ,2620 ,5872 ,19 ,261 ,0 ,0 ,0 ,0 
Dec.24,2호선,218,종합운동장,11 ,3 ,1365 ,1064 ,6037 ,10514 ,15839 ,13450 ,22403 ,23412 ,16972 ,13310 ,12881 ,11605 ,13009 ,9489 ,13057 ,12737 ,12518 ,14522 ,17685 ,16727 ,16232 ,21124 ,18917 ,18213 ,19464 ,22075 ,20417 ,26187 ,10994 ,18149 ,11301 ,12005 ,11396 ,11780 ,7528 ,11434 ,2396 ,6392 ,359 ,1897 ,40 ,181 ,0 ,0 ,0 ,0 
Dec.24,2호선,219,삼성(무역센터),160 ,0 ,5190 ,6094 ,6546 ,46357 ,14429 ,134171 ,20093 ,308838 ,22013 ,238542 ,28191 ,131463 ,43379 ,100101 ,56822 ,92041 ,72683 ,99120 ,94654 ,88555 ,119678 ,80857 ,154144 ,79709 ,240070 ,85866 ,292279 ,77536 ,160343 ,40893 ,138637 ,22471 ,118426 ,16980 ,75797 ,13438 ,21190 ,7164 ,2835 ,4196 ,26 ,1514 ,0 ,7 ,0 ,0 
Dec.24,2호선,220,선릉,121 ,3 ,4967 ,6327 ,11478 ,44511 ,22809 ,121899 ,36082 ,284080 ,35514 ,213365 ,41732 ,105603 ,54101 ,73825 ,65404 ,66542 ,74767 ,75131 ,86604 ,63751 ,110648 ,57760 ,141182 ,57970 ,217057 ,67274 ,277582 ,67938 ,139146 ,42425 ,96175 ,27361 ,95863 ,24225 ,80009 ,21640 ,30081 ,12964 ,5089 ,5373 ,14 ,135 ,0 ,4 ,0 ,0 
Dec.24,2호선,221,역삼,40 ,2 ,3879 ,7170 ,9208 ,44496 ,15786 ,150509 ,26258 ,341978 ,25157 ,288622 ,27369 ,126009 ,37761 ,71553 ,46242 ,64211 ,55841 ,67737 ,67241 ,55176 ,88449 ,48766 ,117976 ,49501 ,225079 ,62965 ,251446 ,65131 ,143925 ,39158 ,87686 ,25018 ,82587 ,21873 ,56591 ,18213 ,23707 ,11764 ,4355 ,3641 ,4 ,49 ,0 ,3 ,0 ,0 
Dec.24,2호선,222,강남,202 ,5 ,8376 ,11024 ,18413 ,54652 ,39730 ,143385 ,61650 ,299575 ,53653 ,308019 ,57784 ,159488 ,76040 ,112885 ,92859 ,110844 ,109181 ,125745 ,126066 ,116071 ,154366 ,112119 ,183658 ,125150 ,258939 ,160330 ,309451 ,195380 ,211752 ,114318 ,167207 ,66807 ,189316 ,55474 ,169081 ,46998 ,86072 ,26421 ,15481 ,7399 ,41 ,139 ,2 ,10 ,0 ,0 
Dec.24,2호선,223,교대(법원.검찰청),30 ,0 ,2774 ,6625 ,10651 ,25064 ,23579 ,50210 ,36160 ,151762 ,29412 ,132548 ,28276 ,72535 ,34861 ,66617 ,37818 ,60404 ,46698 ,62414 ,56805 ,54717 ,60314 ,51902 ,66036 ,56952 ,100849 ,78047 ,128288 ,79072 ,63290 ,43815 ,56252 ,28036 ,55199 ,26254 ,42064 ,24307 ,18660 ,13525 ,3739 ,4152 ,8 ,55 ,1 ,2 ,0 ,0 
Dec.24,2호선,224,서초,10 ,1 ,1828 ,5011 ,8744 ,23224 ,17555 ,53174 ,27946 ,111949 ,28925 ,94464 ,23283 ,44029 ,34339 ,43811 ,29498 ,32129 ,40760 ,32870 ,42235 ,30054 ,49217 ,25143 ,56435 ,28491 ,78311 ,34644 ,91381 ,31864 ,45506 ,21788 ,34352 ,13632 ,36266 ,13139 ,20177 ,12895 ,6799 ,6903 ,1844 ,1906 ,2 ,17 ,1 ,2 ,0 ,0 
Dec.24,2호선,225,방배,11 ,2 ,2335 ,3597 ,8547 ,12541 ,20207 ,25815 ,30288 ,68355 ,24020 ,53022 ,20576 ,31155 ,22677 ,26574 ,24947 ,27975 ,28997 ,26957 ,31628 ,27008 ,34947 ,26611 ,42601 ,27947 ,50830 ,33346 ,58943 ,37243 ,28216 ,25267 ,24369 ,18014 ,23471 ,17397 ,17948 ,16725 ,6830 ,9622 ,1496 ,3120 ,13 ,43 ,0 ,1 ,0 ,0 
Dec.24,2호선,226,사당,155 ,7 ,14142 ,3882 ,31358 ,31785 ,79646 ,45836 ,103637 ,68238 ,79318 ,54020 ,56843 ,48857 ,53964 ,70131 ,60273 ,68883 ,66361 ,61815 ,77515 ,63442 ,80470 ,77317 ,82783 ,106234 ,97342 ,153102 ,109002 ,195950 ,82282 ,125582 ,80159 ,78617 ,89906 ,73801 ,86269 ,68160 ,47619 ,42968 ,7860 ,13257 ,42 ,958 ,4 ,27 ,0 ,0 
