전체평점,복지,워라벨,사내문화,승진 기회,경영진
3.8,4.2,3.1,3.5,3.5,3.1
3.1,3.0,3.1,3.1,3.0,2.5
3.6,4.1,3.1,3.3,3.3,3.0
4.0,4.1,3.6,3.8,3.5,3.2
